iterations,dataset_id,mae,mse,rmse,unique_subsets,num_clusters,actual_epsilon,step
0.05,5,0.307217262,0.110805166,0.332874099,63,6,0.05,0
0.05,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.05,0
0.05,7,0,0,0,255,8,0.05,0
0.05,8,0,0,0,255,8,0.05,0
0.05,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.05,0
0.05,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.05,0
0.05,11,0.16953125,0.066567383,0.258006556,31,5,0.05,0
0.05,12,0,0,0,255,8,0.05,0
0.05,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.05,0
0.05,14,0,0,0,255,8,0.05,0
0.05,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.05,0
0.05,16,0.112574405,0.028730277,0.169500079,7,3,0.05,0
0.05,17,0,0,0,255,8,0.05,0
0.05,18,4.16E-17,7.70E-33,8.78E-17,255,8,0.05,0
0.05,19,0,0,0,255,8,0.05,0
0.05,20,0.168452381,0.045357143,0.212972165,3,2,0.05,0
0.05,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,22,0,0,0,255,8,0.05,0
0.05,23,0,0,0,255,8,0.05,0
0.05,24,0.641964286,0.43762702,0.661533839,3,2,0.05,0
0.05,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.05,0
0.05,26,0,0,0,255,8,0.05,0
0.05,27,0.026785714,0.001330871,0.036481103,127,7,0.05,0
0.05,28,0.075,0.005625,0.075,31,5,0.05,0
0.05,29,0.09375,0.009375,0.096824584,15,4,0.05,0
0.05,30,0,0,0,255,8,0.05,0
0.05,31,0.052827381,0.003880031,0.062289896,63,6,0.05,0
0.05,32,0.038988095,0.001610642,0.0401328,31,5,0.05,0
0.05,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.05,0
0.05,34,0,0,0,255,8,0.05,0
0.05,35,0,0,0,255,8,0.05,0
0.05,36,0.01235119,0.000185126,0.013606106,63,6,0.05,0
0.05,37,0.103869048,0.018811473,0.137154922,63,6,0.05,0
0.05,38,0,0,0,255,8,0.05,0
0.05,39,0.141617063,0.049650416,0.222823732,63,6,0.05,0
0.05,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,43,0,0,0,255,8,0.05,0
0.05,44,0.021875,0.000673452,0.025950947,127,7,0.05,0
0.05,45,0,0,0,255,8,0.05,0
0.05,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,47,0,0,0,255,8,0.05,0
0.075,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,2,0.14047619,0.028285413,0.168182678,127,7,0.075,0
0.075,3,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,5,0.307217262,0.110805166,0.332874099,63,6,0.075,0
0.075,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.075,0
0.075,7,0,0,0,255,8,0.075,0
0.075,8,0,0,0,255,8,0.075,0
0.075,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.075,0
0.075,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.075,0
0.075,11,0.16953125,0.066567383,0.258006556,31,5,0.075,0
0.075,12,0,0,0,255,8,0.075,0
0.075,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.075,0
0.075,14,0,0,0,255,8,0.075,0
0.075,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,16,0.112574405,0.028730277,0.169500079,7,3,0.075,0
0.075,17,0,0,0,255,8,0.075,0
0.075,18,0.139732143,0.026315481,0.162220469,127,7,0.075,0
0.075,19,0,0,0,255,8,0.075,0
0.075,20,0.168452381,0.045357143,0.212972165,3,2,0.075,0
0.075,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,22,0,0,0,255,8,0.075,0
0.075,23,0,0,0,255,8,0.075,0
0.075,24,0.641964286,0.43762702,0.661533839,3,2,0.075,0
0.075,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.075,0
0.075,26,0,0,0,255,8,0.075,0
0.075,27,0.026785714,0.001330871,0.036481103,127,7,0.075,0
0.075,28,0.075,0.005625,0.075,31,5,0.075,0
0.075,29,0.09375,0.009375,0.096824584,15,4,0.075,0
0.075,30,0,0,0,255,8,0.075,0
0.075,31,0.052827381,0.003880031,0.062289896,63,6,0.075,0
0.075,32,0.038988095,0.001610642,0.0401328,31,5,0.075,0
0.075,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.075,0
0.075,34,0,0,0,255,8,0.075,0
0.075,35,0,0,0,255,8,0.075,0
0.075,36,0.01235119,0.000185126,0.013606106,63,6,0.075,0
0.075,37,0.103869048,0.018811473,0.137154922,63,6,0.075,0
0.075,38,0,0,0,255,8,0.075,0
0.075,39,0.141617063,0.049650416,0.222823732,63,6,0.075,0
0.075,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,43,0,0,0,255,8,0.075,0
0.075,44,0.021875,0.000673452,0.025950947,127,7,0.075,0
0.075,45,0,0,0,255,8,0.075,0
0.075,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,47,0,0,0,255,8,0.075,0
0.1,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.1,0
0.1,2,0.14047619,0.028285413,0.168182678,127,7,0.1,0
0.1,3,0.186309524,0.049291383,0.222016628,127,7,0.1,0
0.1,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.1,0
0.1,5,0.307217262,0.110805166,0.332874099,63,6,0.1,0
0.1,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.1,0
0.1,7,0,0,0,255,8,0.1,0
0.1,8,0,0,0,255,8,0.1,0
0.1,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.1,0
0.1,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.1,0
0.1,11,0.16953125,0.066567383,0.258006556,31,5,0.1,0
0.1,12,0,0,0,255,8,0.1,0
0.1,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.1,0
0.1,14,0,0,0,255,8,0.1,0
0.1,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.1,0
0.1,16,0.112574405,0.028730277,0.169500079,7,3,0.1,0
0.1,17,0,0,0,255,8,0.1,0
0.1,18,0.139732143,0.026315481,0.162220469,127,7,0.1,0
0.1,19,0,0,0,255,8,0.1,0
0.1,20,0.168452381,0.045357143,0.212972165,3,2,0.1,0
0.1,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,22,0,0,0,255,8,0.1,0
0.1,23,0,0,0,255,8,0.1,0
0.1,24,0.641964286,0.43762702,0.661533839,3,2,0.1,0
0.1,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.1,0
0.1,26,0,0,0,255,8,0.1,0
0.1,27,0.026785714,0.001330871,0.036481103,127,7,0.1,0
0.1,28,0.075,0.005625,0.075,31,5,0.1,0
0.1,29,0.09375,0.009375,0.096824584,15,4,0.1,0
0.1,30,0,0,0,255,8,0.1,0
0.1,31,0.052827381,0.003880031,0.062289896,63,6,0.1,0
0.1,32,0.038988095,0.001610642,0.0401328,31,5,0.1,0
0.1,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.1,0
0.1,34,0,0,0,255,8,0.1,0
0.1,35,0,0,0,255,8,0.1,0
0.1,36,0.01235119,0.000185126,0.013606106,63,6,0.1,0
0.1,37,0.103869048,0.018811473,0.137154922,63,6,0.1,0
0.1,38,0,0,0,255,8,0.1,0
0.1,39,0.141617063,0.049650416,0.222823732,63,6,0.1,0
0.1,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,43,0,0,0,255,8,0.1,0
0.1,44,0.021875,0.000673452,0.025950947,127,7,0.1,0
0.1,45,0,0,0,255,8,0.1,0
0.1,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.1,0
0.1,47,0,0,0,255,8,0.1,0
0.125,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.125,0
0.125,2,0.14047619,0.028285413,0.168182678,127,7,0.125,0
0.125,3,0.186309524,0.049291383,0.222016628,127,7,0.125,0
0.125,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.125,0
0.125,5,0.307217262,0.110805166,0.332874099,63,6,0.125,0
0.125,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.125,0
0.125,7,0,0,0,255,8,0.125,0
0.125,8,0,0,0,255,8,0.125,0
0.125,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.125,0
0.125,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.125,0
0.125,11,0.16953125,0.066567383,0.258006556,31,5,0.125,0
0.125,12,0,0,0,255,8,0.125,0
0.125,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.125,0
0.125,14,0,0,0,255,8,0.125,0
0.125,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.125,0
0.125,16,0.112574405,0.028730277,0.169500079,7,3,0.125,0
0.125,17,0,0,0,255,8,0.125,0
0.125,18,0.139732143,0.026315481,0.162220469,127,7,0.125,0
0.125,19,0,0,0,255,8,0.125,0
0.125,20,0.168452381,0.045357143,0.212972165,3,2,0.125,0
0.125,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,22,0,0,0,255,8,0.125,0
0.125,23,0,0,0,255,8,0.125,0
0.125,24,0.641964286,0.43762702,0.661533839,3,2,0.125,0
0.125,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.125,0
0.125,26,0,0,0,255,8,0.125,0
0.125,27,0.026785714,0.001330871,0.036481103,127,7,0.125,0
0.125,28,0.075,0.005625,0.075,31,5,0.125,0
0.125,29,0.09375,0.009375,0.096824584,15,4,0.125,0
0.125,30,0,0,0,255,8,0.125,0
0.125,31,0.052827381,0.003880031,0.062289896,63,6,0.125,0
0.125,32,0.038988095,0.001610642,0.0401328,31,5,0.125,0
0.125,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.125,0
0.125,34,0,0,0,255,8,0.125,0
0.125,35,0,0,0,255,8,0.125,0
0.125,36,0.01235119,0.000185126,0.013606106,63,6,0.125,0
0.125,37,0.103869048,0.018811473,0.137154922,63,6,0.125,0
0.125,38,0,0,0,255,8,0.125,0
0.125,39,0.141617063,0.049650416,0.222823732,63,6,0.125,0
0.125,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,43,0,0,0,255,8,0.125,0
0.125,44,0.021875,0.000673452,0.025950947,127,7,0.125,0
0.125,45,0,0,0,255,8,0.125,0
0.125,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.125,0
0.125,47,0,0,0,255,8,0.125,0
0.15,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.15,0
0.15,2,0.14047619,0.028285413,0.168182678,127,7,0.15,0
0.15,3,0.25,0.074127693,0.272264013,63,6,0.135375,2
0.15,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.15,0
0.15,5,0.307217262,0.110805166,0.332874099,63,6,0.15,0
0.15,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.15,0
0.15,7,0.070386905,0.008339268,0.091319593,127,7,0.15,0
0.15,8,0,0,0,255,8,0.15,0
0.15,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.15,0
0.15,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.15,0
0.15,11,0.16953125,0.066567383,0.258006556,31,5,0.15,0
0.15,12,0,0,0,255,8,0.15,0
0.15,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.15,0
0.15,14,0,0,0,255,8,0.15,0
0.15,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.15,0
0.15,16,0.112574405,0.028730277,0.169500079,7,3,0.15,0
0.15,17,0,0,0,255,8,0.15,0
0.15,18,0.139732143,0.026315481,0.162220469,127,7,0.15,0
0.15,19,0,0,0,255,8,0.15,0
0.15,20,0.168452381,0.045357143,0.212972165,3,2,0.15,0
0.15,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.15,0
0.15,22,0,0,0,255,8,0.15,0
0.15,23,0,0,0,255,8,0.15,0
0.15,24,0.641964286,0.43762702,0.661533839,3,2,0.15,0
0.15,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.15,0
0.15,26,0,0,0,255,8,0.15,0
0.15,27,0.026785714,0.001330871,0.036481103,127,7,0.15,0
0.15,28,0.075,0.005625,0.075,31,5,0.15,0
0.15,29,0.09375,0.009375,0.096824584,15,4,0.15,0
0.15,30,0,0,0,255,8,0.15,0
0.15,31,0.052827381,0.003880031,0.062289896,63,6,0.15,0
